[buoy_visualizer-5] [INFO] [1771741073.372308216] [buoy_visualizer]: Buoy visualizer node started
[buoy_visualizer-5] [INFO] [1771741074.906910576] [buoy_visualizer]: Buoy 5: range=1.31m, bearing=9.4°, position=(1.30, 0.21), confidence=0.75
[buoy_visualizer-5] [INFO] [1771741074.908546020] [buoy_visualizer]: Buoy 6: range=9.66m, bearing=45.0°, position=(6.83, 6.84), confidence=0.88
[buoy_visualizer-5] [INFO] [1771741074.910015660] [buoy_visualizer]: Buoy 7: range=8.63m, bearing=-31.0°, position=(7.40, -4.45), confidence=0.25
[buoy_visualizer-5] [INFO] [1771741074.911477812] [buoy_visualizer]: Buoy 8: range=3.46m, bearing=-106.0°, position=(-0.95, -3.33), confidence=1.00
[buoy_visualizer-5] [INFO] [1771741074.912954493] [buoy_visualizer]: Buoy 9: range=7.33m, bearing=-24.4°, position=(6.68, -3.03), confidence=0.62
[buoy_visualizer-5] [INFO] [1771741074.914310365] [buoy_visualizer]: Buoy 10: range=7.77m, bearing=-37.7°, position=(6.15, -4.75), confidence=0.25
[buoy_visualizer-5] [INFO] [1771741074.917294064] [buoy_visualizer]: Published 11 buoy markers
[buoy_visualizer-5] [INFO] [1771741075.006250864] [buoy_visualizer]: Buoy 0: range=9.61m, bearing=44.9°, position=(6.81, 6.78), confidence=1.00
[buoy_visualizer-5] [INFO] [1771741075.008211419] [buoy_visualizer]: Buoy 1: range=3.46m, bearing=-105.9°, position=(-0.95, -3.33), confidence=1.00
[buoy_visualizer-5] [INFO] [1771741075.009234211] [buoy_visualizer]: Buoy 2: range=6.97m, bearing=67.7°, position=(2.64, 6.45), confidence=1.00
[buoy_visualizer-5] [INFO] [1771741075.010171430] [buoy_visualizer]: Buoy 3: range=12.48m, bearing=-22.7°, position=(11.51, -4.82), confidence=1.00
[buoy_visualizer-5] [INFO] [1771741075.010984735] [buoy_visualizer]: Buoy 4: range=0.30m, bearing=-164.5°, position=(-0.29, -0.08), confidence=1.00
[buoy_visualizer-5] [INFO] [1771741075.011757238] [buoy_visualizer]: Buoy 5: range=7.33m, bearing=-24.4°, position=(6.68, -3.03), confidence=0.62
[buoy_visualizer-5] [INFO] [1771741075.015642505] [buoy_visualizer]: Buoy 6: range=6.90m, bearing=33.6°, position=(5.75, 3.82), confidence=0.50
[buoy_visualizer-5] [INFO] [1771741075.020637355] [buoy_visualizer]: Buoy 7: range=13.57m, bearing=-31.3°, position=(11.59, -7.04), confidence=0.25
[buoy_visualizer-5] [INFO] [1771741075.029381111] [buoy_visualizer]: Buoy 8: range=7.77m, bearing=-37.7°, position=(6.15, -4.75), confidence=0.25
[buoy_visualizer-5] [INFO] [1771741075.043719503] [buoy_visualizer]: Buoy 9: range=1.31m, bearing=10.3°, position=(1.29, 0.23), confidence=0.75
[buoy_visualizer-5] [INFO] [1771741075.057920669] [buoy_visualizer]: Published 10 buoy markers
[buoy_visualizer-5] [INFO] [1771741075.116710818] [buoy_visualizer]: Buoy 0: range=3.45m, bearing=-105.7°, position=(-0.93, -3.32), confidence=1.00
[buoy_visualizer-5] [INFO] [1771741075.118078915] [buoy_visualizer]: Buoy 1: range=7.34m, bearing=-23.0°, position=(6.75, -2.86), confidence=0.88
[buoy_visualizer-5] [INFO] [1771741075.119249654] [buoy_visualizer]: Buoy 2: range=0.31m, bearing=-164.2°, position=(-0.30, -0.08), confidence=1.00
[buoy_visualizer-5] [INFO] [1771741075.120786435] [buoy_visualizer]: Buoy 3: range=6.90m, bearing=33.6°, position=(5.75, 3.82), confidence=0.50
[buoy_visualizer-5] [INFO] [1771741075.122862358] [buoy_visualizer]: Buoy 4: range=13.57m, bearing=-31.3°, position=(11.59, -7.04), confidence=0.25
[buoy_visualizer-5] [INFO] [1771741075.124373505] [buoy_visualizer]: Buoy 5: range=9.61m, bearing=44.7°, position=(6.83, 6.76), confidence=0.88
[buoy_visualizer-5] [INFO] [1771741075.125525682] [buoy_visualizer]: Buoy 6: range=6.96m, bearing=67.8°, position=(2.63, 6.44), confidence=1.00
[buoy_visualizer-5] [INFO] [1771741075.126642337] [buoy_visualizer]: Buoy 7: range=1.29m, bearing=7.6°, position=(1.28, 0.17), confidence=1.00
[buoy_visualizer-5] [INFO] [1771741075.127768817] [buoy_visualizer]: Buoy 8: range=12.49m, bearing=-22.4°, position=(11.55, -4.76), confidence=1.00
[buoy_visualizer-5] [INFO] [1771741075.129296477] [buoy_visualizer]: Published 9 buoy markers
[buoy_visualizer-5] [INFO] [1771741075.240446880] [buoy_visualizer]: Buoy 0: range=9.61m, bearing=44.7°, position=(6.83, 6.76), confidence=0.88
[buoy_visualizer-5] [INFO] [1771741075.242296067] [buoy_visualizer]: Buoy 1: range=6.97m, bearing=67.7°, position=(2.65, 6.45), confidence=1.00
[buoy_visualizer-5] [INFO] [1771741075.245241492] [buoy_visualizer]: Buoy 2: range=3.45m, bearing=-106.0°, position=(-0.95, -3.32), confidence=0.88
[buoy_visualizer-5] [INFO] [1771741075.246668185] [buoy_visualizer]: Buoy 3: range=0.31m, bearing=-164.2°, position=(-0.30, -0.08), confidence=1.00
[buoy_visualizer-5] [INFO] [1771741075.248795792] [buoy_visualizer]: Buoy 4: range=1.31m, bearing=8.6°, position=(1.29, 0.20), confidence=1.00
[buoy_visualizer-5] [INFO] [1771741075.249761652] [buoy_visualizer]: Buoy 5: range=7.34m, bearing=-22.8°, position=(6.76, -2.85), confidence=0.75
[buoy_visualizer-5] [INFO] [1771741075.250594799] [buoy_visualizer]: Buoy 6: range=12.49m, bearing=-22.4°, position=(11.55, -4.76), confidence=1.00
[buoy_visualizer-5] [INFO] [1771741075.251386471] [buoy_visualizer]: Buoy 7: range=9.32m, bearing=-0.2°, position=(9.32, -0.03), confidence=1.00
