[buoy_detector-3] /usr/lib/python3/dist-packages/scipy/__init__.py:146: UserWarning: A NumPy version >=1.17.3 and <1.25.0 is required for this version of SciPy (detected version 1.26.4
[buoy_detector-3]   warnings.warn(f"A NumPy version >={np_minversion} and <{np_maxversion}"
[buoy_detector-3] [INFO] [1771741084.941659369] [buoy_detector]: Detected 14 buoy(s)
[buoy_detector-3] [INFO] [1771741085.052863901] [buoy_detector]: Detected 15 buoy(s)
[buoy_detector-3] [INFO] [1771741085.167661550] [buoy_detector]: Detected 13 buoy(s)
[buoy_detector-3] [INFO] [1771741085.291250029] [buoy_detector]: Detected 15 buoy(s)
[buoy_detector-3] [INFO] [1771741085.406203849] [buoy_detector]: Detected 12 buoy(s)
[buoy_detector-3] [INFO] [1771741085.515044438] [buoy_detector]: Detected 12 buoy(s)
[buoy_detector-3] [INFO] [1771741085.638011656] [buoy_detector]: Detected 13 buoy(s)
[buoy_detector-3] [INFO] [1771741085.756038878] [buoy_detector]: Detected 19 buoy(s)
[buoy_detector-3] [INFO] [1771741085.881384793] [buoy_detector]: Detected 16 buoy(s)
[buoy_detector-3] [INFO] [1771741085.995875668] [buoy_detector]: Detected 15 buoy(s)
[buoy_detector-3] [INFO] [1771741086.120943834] [buoy_detector]: Detected 11 buoy(s)
[buoy_detector-3] [INFO] [1771741086.217795797] [buoy_detector]: Detected 15 buoy(s)
[buoy_detector-3] [INFO] [1771741086.350472468] [buoy_detector]: Detected 8 buoy(s)
[buoy_detector-3] [INFO] [1771741086.481387158] [buoy_detector]: Detected 11 buoy(s)
[buoy_detector-3] [INFO] [1771741086.593387680] [buoy_detector]: Detected 14 buoy(s)
[buoy_detector-3] [INFO] [1771741086.727867678] [buoy_detector]: Detected 11 buoy(s)
[buoy_detector-3] [INFO] [1771741086.840917650] [buoy_detector]: Detected 7 buoy(s)
[buoy_detector-3] [INFO] [1771741086.948915265] [buoy_detector]: Detected 7 buoy(s)
[buoy_detector-3] [INFO] [1771741087.068371032] [buoy_detector]: Detected 6 buoy(s)
[buoy_detector-3] [INFO] [1771741087.190910760] [buoy_detector]: Detected 9 buoy(s)
[buoy_detector-3] [INFO] [1771741087.297006319] [buoy_detector]: Detected 5 buoy(s)
[buoy_detector-3] [INFO] [1771741087.396004160] [buoy_detector]: Detected 5 buoy(s)
[buoy_detector-3] [INFO] [1771741087.503861827] [buoy_detector]: Detected 4 buoy(s)
[buoy_detector-3] [INFO] [1771741087.630678242] [buoy_detector]: Detected 6 buoy(s)
[buoy_detector-3] [INFO] [1771741087.753560106] [buoy_detector]: Detected 8 buoy(s)
[buoy_detector-3] [INFO] [1771741087.865798723] [buoy_detector]: Detected 12 buoy(s)
[buoy_detector-3] [INFO] [1771741088.006384654] [buoy_detector]: Detected 12 buoy(s)
[buoy_detector-3] [INFO] [1771741088.135249723] [buoy_detector]: Detected 12 buoy(s)
[buoy_detector-3] [INFO] [1771741088.261350053] [buoy_detector]: Detected 8 buoy(s)
[buoy_detector-3] [INFO] [1771741088.392979349] [buoy_detector]: Detected 11 buoy(s)
[buoy_detector-3] [INFO] [1771741088.513233186] [buoy_detector]: Detected 9 buoy(s)
[buoy_detector-3] [INFO] [1771741088.630356530] [buoy_detector]: Detected 8 buoy(s)
[buoy_detector-3] [INFO] [1771741088.749633465] [buoy_detector]: Detected 10 buoy(s)
[buoy_detector-3] [INFO] [1771741088.882657420] [buoy_detector]: Detected 9 buoy(s)
[buoy_detector-3] [INFO] [1771741089.008058500] [buoy_detector]: Detected 7 buoy(s)
[buoy_detector-3] [INFO] [1771741089.197116137] [buoy_detector]: Detected 7 buoy(s)
[buoy_detector-3] [INFO] [1771741089.274335989] [buoy_detector]: Detected 9 buoy(s)
[buoy_detector-3] [INFO] [1771741089.390929886] [buoy_detector]: Detected 8 buoy(s)
[buoy_detector-3] [INFO] [1771741089.518749855] [buoy_detector]: Detected 8 buoy(s)
[buoy_detector-3] [INFO] [1771741089.624448102] [buoy_detector]: Detected 11 buoy(s)
[buoy_detector-3] [INFO] [1771741089.748346386] [buoy_detector]: Detected 12 buoy(s)
[buoy_detector-3] [INFO] [1771741089.873172288] [buoy_detector]: Detected 9 buoy(s)
[buoy_detector-3] [INFO] [1771741089.992408354] [buoy_detector]: Detected 8 buoy(s)
[buoy_detector-3] [INFO] [1771741090.098731668] [buoy_detector]: Detected 8 buoy(s)
[buoy_detector-3] [INFO] [1771741090.214391448] [buoy_detector]: Detected 8 buoy(s)
[buoy_detector-3] [INFO] [1771741090.394736211] [buoy_detector]: Detected 7 buoy(s)
[buoy_detector-3] [INFO] [1771741090.505497630] [buoy_detector]: Detected 8 buoy(s)
[buoy_detector-3] [INFO] [1771741090.632806969] [buoy_detector]: Detected 8 buoy(s)
[buoy_detector-3] [INFO] [1771741090.747736425] [buoy_detector]: Detected 10 buoy(s)
[buoy_detector-3] [INFO] [1771741090.891158454] [buoy_detector]: Detected 10 buoy(s)
[buoy_detector-3] [INFO] [1771741090.995235240] [buoy_detector]: Detected 11 buoy(s)
[buoy_detector-3] [INFO] [1771741091.094799163] [buoy_detector]: Detected 10 buoy(s)
[buoy_detector-3] [INFO] [1771741091.221631378] [buoy_detector]: Detected 10 buoy(s)
[buoy_detector-3] [INFO] [1771741091.312098499] [buoy_detector]: Detected 8 buoy(s)
[buoy_detector-3] [INFO] [1771741091.426008618] [buoy_detector]: Detected 8 buoy(s)
[buoy_detector-3] [INFO] [1771741091.530344109] [buoy_detector]: Detected 7 buoy(s)
[buoy_detector-3] [INFO] [1771741091.652289931] [buoy_detector]: Detected 6 buoy(s)
[buoy_detector-3] [INFO] [1771741091.773177855] [buoy_detector]: Detected 6 buoy(s)
[buoy_detector-3] [INFO] [1771741091.893465864] [buoy_detector]: Detected 7 buoy(s)
[buoy_detector-3] [INFO] [1771741091.993424054] [buoy_detector]: Detected 9 buoy(s)
[buoy_detector-3] [INFO] [1771741092.100579231] [buoy_detector]: Detected 9 buoy(s)
[buoy_detector-3] [INFO] [1771741092.234555628] [buoy_detector]: Detected 8 buoy(s)
[buoy_detector-3] [INFO] [1771741092.356587438] [buoy_detector]: Detected 8 buoy(s)
[buoy_detector-3] [INFO] [1771741092.490752296] [buoy_detector]: Detected 9 buoy(s)
[buoy_detector-3] [INFO] [1771741092.593659237] [buoy_detector]: Detected 14 buoy(s)
[buoy_detector-3] [INFO] [1771741092.726969155] [buoy_detector]: Detected 13 buoy(s)
[buoy_detector-3] [INFO] [1771741092.873880768] [buoy_detector]: Detected 10 buoy(s)
[buoy_detector-3] [INFO] [1771741093.023618821] [buoy_detector]: Detected 12 buoy(s)
[buoy_detector-3] [INFO] [1771741093.115682691] [buoy_detector]: Detected 13 buoy(s)
[buoy_detector-3] [INFO] [1771741093.243443255] [buoy_detector]: Detected 10 buoy(s)
